#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	FEATURE_TYPE	GENE_MODEL_STATUS	GENUS	GO_BIOLOGICAL_PROCESS	GO_MOLECULAR_FUNCTION	NAME	SPECIES	SYMBOL
FBgn0039283	FBgn0039283	CG13651	SO0000010:protein_coding_gene	Current	Drosophila	compound eye development ; GO:0048749 | inferred from mutant phenotype <newline> antennal development ; GO:0007469 | inferred from mutant phenotype <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from mutant phenotype <newline> central nervous system formation ; GO:0021556 | inferred from mutant phenotype <newline> segment specification ; GO:0007379 | inferred from mutant phenotype	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from mutant phenotype <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:O18381 inferred from physical interaction with UniProtKB:Q24027 inferred from physical interaction with UniProtKB:Q9VBW6	distal antenna-related	melanogaster	danr
FBgn0050401	FBgn0050401	CG30401	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription from RNA polymerase II promoter involved in spermatogenesis ; GO:1902064 | inferred from mutant phenotype	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057	distal antenna-young	melanogaster	dany
FBgn0264490	FBgn0264490	CG18389	SO0000010:protein_coding_gene	Current	Drosophila	cellular response to hypoxia ; GO:0071456 | inferred from mutant phenotype <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | traceable author statement	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057	Ecdysone-induced protein 93F	melanogaster	Eip93F
FBgn0266129	FBgn0266129	CG16778	SO0000010:protein_coding_gene	Current	Drosophila	ventral midline development ; GO:0007418 | inferred from mutant phenotype <newline> oogenesis ; GO:0048477 | inferred from mutant phenotype <newline> larval walking behavior ; GO:0008346 | inferred from mutant phenotype <newline> negative gravitaxis ; GO:0048060 | inferred from mutant phenotype <newline> gravitaxis ; GO:0042332 | inferred from mutant phenotype <newline> larval feeding behavior ; GO:0030536 | inferred from mutant phenotype <newline> male courtship behavior ; GO:0008049 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057	jim lovell	melanogaster	lov
FBgn0263102	FBgn0263102	CG2368	SO0000010:protein_coding_gene	Current	Drosophila	chromatin silencing ; GO:0006342 | inferred from mutant phenotype <newline> anterior/posterior axis specification, embryo ; GO:0008595 | inferred from high throughput mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010 <newline> imaginal disc-derived wing morphogenesis ; GO:0007476 | inferred from mutant phenotype <newline> gene silencing ; GO:0016458 | traceable author statement <newline> regulation of chromatin silencing ; GO:0031935 | inferred from mutant phenotype <newline> pole plasm assembly ; GO:0007315 | non-traceable author statement <newline> embryonic pattern specification ; GO:0009880 | inferred from mutant phenotype	protein homodimerization activity ; GO:0042803 | inferred from direct assay <newline> DNA binding ; GO:0003677 | traceable author statement <newline> sequence-specific DNA binding ; GO:0043565 | inferred from direct assay <newline> POZ domain binding ; GO:0031208 | inferred from direct assay <newline> DNA binding ; GO:0003677 | inferred from direct assay	pipsqueak	melanogaster	psq
FBgn0003254	FBgn0003254	CG7230	SO0000010:protein_coding_gene	Current	Drosophila	open tracheal system development ; GO:0007424 | non-traceable author statement <newline> protein localization ; GO:0008104 | inferred from mutant phenotype <newline> salivary gland morphogenesis ; GO:0007435 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010 <newline> head involution ; GO:0008258 | inferred from mutant phenotype <newline> epithelial cell migration, open tracheal system ; GO:0007427 | inferred from mutant phenotype <newline> regulation of cell shape ; GO:0008360 | inferred from mutant phenotype <newline> Malpighian tubule morphogenesis ; GO:0007443 | inferred from mutant phenotype <newline> membrane organization ; GO:0061024 | traceable author statement <newline> dorsal closure ; GO:0007391 | non-traceable author statement <newline> cell migration ; GO:0016477 | traceable author statement <newline> regulation of cell shape ; GO:0008360 | traceable author statement <newline> regulation of Malpighian tubule diameter ; GO:0035297 | inferred from mutant phenotype <newline> gonad development ; GO:0008406 | inferred from mutant phenotype <newline> regulation of transcription, DNA-templated ; GO:0006355 | traceable author statement <newline> salivary gland development ; GO:0007431 | traceable author statement <newline> dorsal closure ; GO:0007391 | traceable author statement <newline> open tracheal system development ; GO:0007424 | inferred from mutant phenotype <newline> central nervous system development ; GO:0007417 | inferred from mutant phenotype <newline> hindgut morphogenesis ; GO:0007442 | inferred from mutant phenotype <newline> open tracheal system development ; GO:0007424 | traceable author statement <newline> cytoskeleton organization ; GO:0007010 | traceable author statement <newline> tracheal outgrowth, open tracheal system ; GO:0007426 | inferred from mutant phenotype <newline> establishment or maintenance of epithelial cell apical/basal polarity ; GO:0045197 | inferred from mutant phenotype <newline> salivary gland morphogenesis ; GO:0007435 | non-traceable author statement <newline> dorsal closure ; GO:0007391 | inferred from mutant phenotype	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057 <newline> DNA-binding transcription factor activity ; GO:0003700 | traceable author statement	ribbon	melanogaster	rib
FBgn0041111	FBgn0041111	CG8817	SO0000010:protein_coding_gene	Current	Drosophila	learning or memory ; GO:0007611 | inferred from mutant phenotype <newline> neuronal stem cell population maintenance ; GO:0097150 | inferred from mutant phenotype inferred from genetic interaction with E(spl)mγ-HLH, Su(Tpl) inferred from genetic interaction with N inferred from genetic interaction with N, lilli inferred from genetic interaction with Su(Tpl) <newline> compound eye photoreceptor development ; GO:0042051 | inferred from genetic interaction with Raf <newline> segment specification ; GO:0007379 | inferred from high throughput mutant phenotype <newline> regulation of cytoskeleton organization ; GO:0051493 | inferred from mutant phenotype <newline> regulation of cell size ; GO:0008361 | inferred from mutant phenotype <newline> wing disc dorsal/ventral pattern formation ; GO:0048190 | inferred from genetic interaction with Bx, ap <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from mutant phenotype inferred from genetic interaction with Su(Tpl) <newline> regulation of lipid transport ; GO:0032368 | inferred from mutant phenotype <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from mutant phenotype <newline> periodic partitioning by pair rule gene ; GO:0007366 | inferred from mutant phenotype	DNA binding ; GO:0003677 | inferred from sequence or structural similarity with HGNC:6473 inferred from sequence or structural similarity with HGNC:7135 <newline> RNA polymerase II-specific DNA-binding transcription factor binding ; GO:0061629 | inferred from physical interaction with Su(H) <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from mutant phenotype <newline> double-stranded DNA binding ; GO:0003690 | inferred from biological aspect of ancestor with PANTHER:PTN000829417 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from sequence or structural similarity with HGNC:6473 inferred from sequence or structural similarity with HGNC:7135 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN000829417	lilliputian	melanogaster	lilli
FBgn0259234	FBgn0259234	CG42332	SO0000010:protein_coding_gene	Current	Drosophila	response to light stimulus ; GO:0009416 | inferred from mutant phenotype <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | inferred from sequence or structural similarity <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> deactivation of rhodopsin mediated signaling ; GO:0016059 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from biological aspect of ancestor with PANTHER:PTN000596526	DNA binding ; GO:0003677 | inferred from sequence or structural similarity <newline> calmodulin binding ; GO:0005516 | inferred from sequence or structural similarity <newline> protein homodimerization activity ; GO:0042803 | inferred from physical interaction with Camta <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from sequence or structural similarity <newline> sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN000596526 <newline> DNA-binding transcription activator activity, RNA polymerase II-specific ; GO:0001228 | inferred from direct assay	Calmodulin-binding transcription activator	melanogaster	Camta
FBgn0050011	FBgn0050011	CG30011	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN000867451	sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN000867451 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN000867451	gemini	melanogaster	gem
FBgn0259211	FBgn0259211	CG42311	SO0000010:protein_coding_gene	Current	Drosophila	positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from expression pattern <newline> rhabdomere development ; GO:0042052 | inferred from mutant phenotype <newline> epithelial cell morphogenesis ; GO:0003382 | inferred from mutant phenotype <newline> open tracheal system development ; GO:0007424 | inferred from expression pattern <newline> ventral cord development ; GO:0007419 | inferred from high throughput mutant phenotype <newline> nervous system development ; GO:0007399 | inferred from mutant phenotype <newline> ganglion mother cell fate determination ; GO:0007402 | traceable author statement <newline> tracheal outgrowth, open tracheal system ; GO:0007426 | inferred from mutant phenotype <newline> chitin-based embryonic cuticle biosynthetic process ; GO:0008362 | inferred from mutant phenotype <newline> regulation of cell population proliferation ; GO:0042127 | inferred from mutant phenotype <newline> membrane organization ; GO:0061024 | traceable author statement <newline> R3/R4 cell fate commitment ; GO:0007464 | inferred from mutant phenotype <newline> fibroblast growth factor receptor signaling pathway ; GO:0008543 | inferred from genetic interaction with bnl <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN000867451 <newline> ventral cord development ; GO:0007419 | non-traceable author statement <newline> chitin-based cuticle development ; GO:0040003 | inferred from mutant phenotype <newline> regulation of tube length, open tracheal system ; GO:0035159 | inferred from mutant phenotype <newline> regulation of neurogenesis ; GO:0050767 | inferred from mutant phenotype <newline> regulation of wound healing ; GO:0061041 | inferred from mutant phenotype	sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN000867451 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from direct assay <newline> sequence-specific DNA binding ; GO:0043565 | inferred from direct assay <newline> DNA binding ; GO:0003677 | inferred from direct assay <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN000867451 <newline> protein homodimerization activity ; GO:0042803 | inferred from physical interaction with grh	grainy head	melanogaster	grh
FBgn0024250	FBgn0024250	CG9653	SO0000010:protein_coding_gene	Current	Drosophila	negative regulation of BMP signaling pathway ; GO:0030514 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from mutant phenotype <newline> wing disc morphogenesis ; GO:0007472 | inferred from mutant phenotype <newline> nucleosome assembly ; GO:0006334 | inferred from biological aspect of ancestor with PANTHER:PTN000298848 <newline> negative regulation of BMP signaling pathway ; GO:0030514 | inferred from direct assay <newline> cell competition in a multicellular organism ; GO:0035212 | inferred from mutant phenotype <newline> regulation of gene expression ; GO:0010468 | inferred from mutant phenotype <newline> imaginal disc-derived wing morphogenesis ; GO:0007476 | inferred from mutant phenotype <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from biological aspect of ancestor with PANTHER:PTN000298848 <newline> posterior Malpighian tubule development ; GO:0061328 | inferred from mutant phenotype <newline> regulation of apoptotic process ; GO:0042981 | inferred from biological aspect of ancestor with PANTHER:PTN000298848 <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from direct assay	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay <newline> DNA-binding transcription repressor activity, RNA polymerase II-specific ; GO:0001227 | inferred from direct assay <newline> transcription factor binding ; GO:0008134 | inferred from biological aspect of ancestor with PANTHER:PTN000298848 <newline> histone binding ; GO:0042393 | inferred from biological aspect of ancestor with PANTHER:PTN000298848 <newline> transcription corepressor activity ; GO:0003714 | inferred from biological aspect of ancestor with PANTHER:PTN000298848	brinker	melanogaster	brk
FBgn0001222	FBgn0001222	CG5748	SO0000010:protein_coding_gene	Current	Drosophila	response to heat ; GO:0009408 | inferred from direct assay <newline> positive regulation of DNA binding ; GO:0043388 | inferred from direct assay <newline> regulation of transcription from RNA polymerase II promoter in response to stress ; GO:0043618 | inferred from biological aspect of ancestor with PANTHER:PTN000001154 <newline> positive regulation of transcription from RNA polymerase II promoter in response to heat stress ; GO:0061408 | inferred from biological aspect of ancestor with PANTHER:PTN000001154 <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from mutant phenotype inferred from genetic interaction with Trl <newline> response to heat ; GO:0009408 | traceable author statement <newline> cellular response to heat ; GO:0034605 | inferred from biological aspect of ancestor with PANTHER:PTN000001154 <newline> defense response to fungus ; GO:0050832 | inferred from mutant phenotype <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | inferred from mutant phenotype <newline> response to heat ; GO:0009408 | inferred from mutant phenotype <newline> defense response to bacterium ; GO:0042742 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay	DNA-binding transcription factor activity ; GO:0003700 | inferred from direct assay <newline> sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN000001154 <newline> DNA binding ; GO:0003677 | inferred from direct assay <newline> sequence-specific DNA binding ; GO:0043565 | inferred from direct assay <newline> DNA binding ; GO:0003677 | traceable author statement <newline> protein binding ; GO:0005515 | inferred from physical interaction with MED17 <newline> RNA polymerase II proximal promoter sequence-specific DNA binding ; GO:0000978 | inferred from biological aspect of ancestor with PANTHER:PTN000001154 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN000001154	Heat shock factor	melanogaster	Hsf
FBgn0027503	FBgn0027503	CG11970	SO0000010:protein_coding_gene	Current	Drosophila	-	protease binding ; GO:0002020 | inferred from biological aspect of ancestor with PANTHER:PTN000990465	-	melanogaster	CG11970
FBgn0005427	FBgn0005427	CG3114	SO0000010:protein_coding_gene	Current	Drosophila	negative regulation of synaptic growth at neuromuscular junction ; GO:0045886 | inferred from mutant phenotype <newline> central nervous system development ; GO:0007417 | inferred from mutant phenotype <newline> muscle organ development ; GO:0007517 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001838773 <newline> positive regulation of canonical Wnt signaling pathway ; GO:0090263 | inferred from genetic interaction with Apc, ebd1 <newline> imaginal disc morphogenesis ; GO:0007560 | inferred from mutant phenotype <newline> adult somatic muscle development ; GO:0007527 | inferred from genetic interaction with pan <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from mutant phenotype	DNA-binding transcription factor activity ; GO:0003700 | inferred from electronic annotation with InterPro:IPR039142 <newline> core promoter sequence-specific DNA binding ; GO:0001046 | inferred from biological aspect of ancestor with PANTHER:PTN001838773 <newline> RNA polymerase II proximal promoter sequence-specific DNA binding ; GO:0000978 | inferred from biological aspect of ancestor with PANTHER:PTN001838773 <newline> DNA binding ; GO:0003677 | non-traceable author statement	erect wing	melanogaster	ewg
