userId	geneSymbol	geneName	entrezgene	gLink
SerT	SerT	Serotonin transporter	37895	https://www.ncbi.nlm.nih.gov/gene/?term=37895
CG45069	CG45069	NA	19836003	https://www.ncbi.nlm.nih.gov/gene/?term=19836003
prom	prom	prominin	246493	https://www.ncbi.nlm.nih.gov/gene/?term=246493
CG42383	CG42383	NA	37897	https://www.ncbi.nlm.nih.gov/gene/?term=37897
CG1339	CG1339	NA	35705	https://www.ncbi.nlm.nih.gov/gene/?term=35705
CG30495	CG30495	NA	246651	https://www.ncbi.nlm.nih.gov/gene/?term=246651
CG2065	CG2065	NA	35707	https://www.ncbi.nlm.nih.gov/gene/?term=35707
CG2070	CG2070	NA	35706	https://www.ncbi.nlm.nih.gov/gene/?term=35706
Dgk	Dgk	Diacyl glycerol kinase	35738	https://www.ncbi.nlm.nih.gov/gene/?term=35738
CG13954	CG13954	NA	35959	https://www.ncbi.nlm.nih.gov/gene/?term=35959
CG13739	CG13739	NA	35957	https://www.ncbi.nlm.nih.gov/gene/?term=35957
Spn47C	Spn47C	Serpin 47C	36163	https://www.ncbi.nlm.nih.gov/gene/?term=36163
BBS4	BBS4	Bardet-Biedl syndrome 4	36167	https://www.ncbi.nlm.nih.gov/gene/?term=36167
CG17047	CG17047	NA	36478	https://www.ncbi.nlm.nih.gov/gene/?term=36478
mam	mam	mastermind	36555	https://www.ncbi.nlm.nih.gov/gene/?term=36555
CG32103	CG32103	NA	39415	https://www.ncbi.nlm.nih.gov/gene/?term=39415
CG10960	CG10960	NA	39458	https://www.ncbi.nlm.nih.gov/gene/?term=39458
Poc1	Poc1	Proteome of centrioles 1	39502	https://www.ncbi.nlm.nih.gov/gene/?term=39502
nuf	nuf	nuclear fallout	39572	https://www.ncbi.nlm.nih.gov/gene/?term=39572
CG3349	CG3349	NA	39623	https://www.ncbi.nlm.nih.gov/gene/?term=39623
CG43373	CG43373	NA	39835	https://www.ncbi.nlm.nih.gov/gene/?term=39835
CG7510	CG7510	NA	39965	https://www.ncbi.nlm.nih.gov/gene/?term=39965
Eip75B	Eip75B	Ecdysone-induced protein 75B	39999	https://www.ncbi.nlm.nih.gov/gene/?term=39999
CR44535	CR44535	NA	19834990	https://www.ncbi.nlm.nih.gov/gene/?term=19834990
dar1	dar1	dendritic arbor reduction 1	38436	https://www.ncbi.nlm.nih.gov/gene/?term=38436
ago	ago	archipelago	38516	https://www.ncbi.nlm.nih.gov/gene/?term=38516
CG1265	CG1265	NA	38517	https://www.ncbi.nlm.nih.gov/gene/?term=38517
axo	axo	axotactin	43923	https://www.ncbi.nlm.nih.gov/gene/?term=43923
CG15876	CG15876	NA	38573	https://www.ncbi.nlm.nih.gov/gene/?term=38573
RhoGEF64C	RhoGEF64C	Rho guanine nucleotide exchange factor at 64C	38578	https://www.ncbi.nlm.nih.gov/gene/?term=38578
Mp	Mp	Multiplexin	38769	https://www.ncbi.nlm.nih.gov/gene/?term=38769
CG8006	CG8006	NA	38920	https://www.ncbi.nlm.nih.gov/gene/?term=38920
CG8012	CG8012	NA	50305	https://www.ncbi.nlm.nih.gov/gene/?term=50305
CG8177	CG8177	NA	39147	https://www.ncbi.nlm.nih.gov/gene/?term=39147
trio	trio	trio	43974	https://www.ncbi.nlm.nih.gov/gene/?term=43974
AdamTS-A	AdamTS-A	ADAM metallopeptidase with thrombospondin type 1 motif A	41887	https://www.ncbi.nlm.nih.gov/gene/?term=41887
CG31296	CG31296	NA	318668	https://www.ncbi.nlm.nih.gov/gene/?term=318668
sra	sra	sarah	47384	https://www.ncbi.nlm.nih.gov/gene/?term=47384
CG6126	CG6126	NA	41967	https://www.ncbi.nlm.nih.gov/gene/?term=41967
CR45641	CR45641	NA	19834912	https://www.ncbi.nlm.nih.gov/gene/?term=19834912
Cad89D	Cad89D	Cadherin 89D	42006	https://www.ncbi.nlm.nih.gov/gene/?term=42006
CG42342	CG42342	NA	7354466	https://www.ncbi.nlm.nih.gov/gene/?term=7354466
NPF	NPF	neuropeptide F	42018	https://www.ncbi.nlm.nih.gov/gene/?term=42018
bxd	bxd	bithoraxoid	3772220	https://www.ncbi.nlm.nih.gov/gene/?term=3772220
iab-8	iab-8	iab-8 non-coding RNA	12798430	https://www.ncbi.nlm.nih.gov/gene/?term=12798430
CG31266	CG31266	NA	42071	https://www.ncbi.nlm.nih.gov/gene/?term=42071
CG31267	CG31267	NA	318651	https://www.ncbi.nlm.nih.gov/gene/?term=318651
Mur89F	Mur89F	Mucin related 89F	42080	https://www.ncbi.nlm.nih.gov/gene/?term=42080
Dscam3	Dscam3	Down syndrome cell adhesion molecule 3	42103	https://www.ncbi.nlm.nih.gov/gene/?term=42103
osa	osa	osa	42130	https://www.ncbi.nlm.nih.gov/gene/?term=42130
Lgr1	Lgr1	Leucine-rich repeat-containing G protein-coupled receptor 1	42133	https://www.ncbi.nlm.nih.gov/gene/?term=42133
sr	sr	stripe	42162	https://www.ncbi.nlm.nih.gov/gene/?term=42162
fru	fru	fruitless	42226	https://www.ncbi.nlm.nih.gov/gene/?term=42226
CG14285	CG14285	NA	42281	https://www.ncbi.nlm.nih.gov/gene/?term=42281
CG14286	CG14286	NA	42280	https://www.ncbi.nlm.nih.gov/gene/?term=42280
Hmgcr	Hmgcr	HMG Coenzyme A reductase	42803	https://www.ncbi.nlm.nih.gov/gene/?term=42803
CG12268	CG12268	NA	42833	https://www.ncbi.nlm.nih.gov/gene/?term=42833
intr	intr	intrepid	43397	https://www.ncbi.nlm.nih.gov/gene/?term=43397
CG34295	CG34295	NA	5740413	https://www.ncbi.nlm.nih.gov/gene/?term=5740413
CG45263	CG45263	NA	50003	https://www.ncbi.nlm.nih.gov/gene/?term=50003
Obp85a	Obp85a	Odorant-binding protein 85a	41006	https://www.ncbi.nlm.nih.gov/gene/?term=41006
GstZ2	GstZ2	Glutathione S transferase Z2	41133	https://www.ncbi.nlm.nih.gov/gene/?term=41133
Glut4EF	Glut4EF	Glucose transporter 4 enhancer factor	41217	https://www.ncbi.nlm.nih.gov/gene/?term=41217
CG5361	CG5361	NA	41236	https://www.ncbi.nlm.nih.gov/gene/?term=41236
twf	twf	twinfilin	41719	https://www.ncbi.nlm.nih.gov/gene/?term=41719
140up	140up	upstream of RpII140	41720	https://www.ncbi.nlm.nih.gov/gene/?term=41720
CG2316	CG2316	CG2316	43772	https://www.ncbi.nlm.nih.gov/gene/?term=43772
Pkcdelta	Pkcdelta	Protein kinase C delta	32191	https://www.ncbi.nlm.nih.gov/gene/?term=32191
CG2556	CG2556	NA	32201	https://www.ncbi.nlm.nih.gov/gene/?term=32201
rad	rad	radish	32253	https://www.ncbi.nlm.nih.gov/gene/?term=32253
NetA	NetA	Netrin-A	32398	https://www.ncbi.nlm.nih.gov/gene/?term=32398
Rab3-GEF	Rab3-GEF	Rab3 GDP-GTP exchange factor	32442	https://www.ncbi.nlm.nih.gov/gene/?term=32442
CG9981	CG9981	NA	32609	https://www.ncbi.nlm.nih.gov/gene/?term=32609
CG6106	CG6106	NA	32816	https://www.ncbi.nlm.nih.gov/gene/?term=32816
CG43759	CG43759	NA	32889	https://www.ncbi.nlm.nih.gov/gene/?term=32889
CG14207	CG14207	NA	32955	https://www.ncbi.nlm.nih.gov/gene/?term=32955
CR32773	CR32773	NA	19835374	https://www.ncbi.nlm.nih.gov/gene/?term=19835374
CG32758	CG32758	NA	31493	https://www.ncbi.nlm.nih.gov/gene/?term=31493
IntS6	IntS6	Integrator 6	31496	https://www.ncbi.nlm.nih.gov/gene/?term=31496
CR44499	CR44499	NA	19834922	https://www.ncbi.nlm.nih.gov/gene/?term=19834922
CHES-1-like	CHES-1-like	Checkpoint suppressor 1-like	31678	https://www.ncbi.nlm.nih.gov/gene/?term=31678
Sp1	Sp1	Sp1	31913	https://www.ncbi.nlm.nih.gov/gene/?term=31913
